title,console,genre,publisher,developer,critic_score,total_sales,na_sales,pal_sales,other_sales,release_date,year
Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,9.4,20.32,6.37,9.85,3.12,2013-09-17,2013.0
Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,9.7,19.39,6.06,9.71,3.02,2014-11-18,2014.0
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North,9.6,16.15,8.41,5.49,1.78,2002-10-28,2002.0
Call of Duty: Black Ops 3,PS4,Shooter,Activision,Treyarch,8.1,15.09,6.18,6.05,2.44,2015-11-06,2015.0
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,Infinity Ward,8.7,14.82,9.07,4.29,1.33,2011-11-08,2011.0
Call of Duty: Black Ops,X360,Shooter,Activision,Treyarch,8.8,14.74,9.76,3.73,1.14,2010-11-09,2010.0
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,Rockstar Games,9.8,13.94,5.26,6.21,2.26,2018-10-26,2018.0
Call of Duty: Black Ops II,X360,Shooter,Activision,Treyarch,8.4,13.86,8.27,4.32,1.2,2012-11-13,2012.0
Call of Duty: Black Ops II,PS3,Shooter,Activision,Treyarch,8.0,13.8,4.99,5.88,2.28,2012-11-13,2012.0
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,Infinity Ward,9.5,13.53,8.54,3.63,1.28,2009-11-10,2009.0
Call of Duty: WWII,PS4,Shooter,Activision,Sledgehammer Games,8.1,13.4,4.67,6.21,2.12,2017-11-03,2017.0
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,Infinity Ward,8.8,13.35,5.54,5.78,1.54,2011-11-08,2011.0
Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design,9.5,13.1,6.99,4.51,1.3,2001-10-23,2001.0
Call of Duty: Black Ops,PS3,Shooter,Activision,Treyarch,8.7,12.67,6.01,4.4,1.78,2010-11-09,2010.0
FIFA 18,PS4,Sports,EA Sports,EA Vancouver,8.3,11.8,1.27,8.64,1.73,2017-09-29,2017.0
Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,10.0,11.09,6.8,3.11,1.04,2008-04-29,2008.0
FIFA 17,PS4,Sports,Electronic Arts,EA Canada,8.9,10.94,1.26,7.95,1.61,2016-09-27,2016.0
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,Infinity Ward,9.5,10.61,4.99,3.66,1.59,2009-11-10,2009.0
Grand Theft Auto IV,PS3,Action,Rockstar Games,Rockstar North,10.0,10.57,4.79,3.73,1.62,2008-04-29,2008.0
Call of Duty: Ghosts,X360,Shooter,Activision,Infinity Ward,6.9,10.41,6.76,2.64,0.98,2013-11-05,2013.0
Call of Duty: Ghosts,PS3,Shooter,Activision,Infinity Ward,7.5,10.13,4.11,4.01,1.62,2013-11-05,2013.0
Halo: Reach,X360,Shooter,Microsoft Game Studios,Bungie,9.3,9.97,7.08,2.01,0.8,2010-09-14,2010.0
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,Infinity Ward,9.6,9.41,5.98,2.39,0.91,2007-11-05,2007.0
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.3,8.88,5.1,2.83,0.85,2011-11-11,2011.0
Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,9.0,8.72,4.7,3.25,0.76,2014-11-18,2014.0
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,Infinity Ward,7.9,8.48,3.11,3.83,1.36,2016-11-04,2016.0
Fallout 4,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.6,8.48,2.91,3.97,1.34,2015-11-10,2015.0
FIFA 16,PS4,Sports,EA Sports,EA Canada,8.5,8.22,1.15,5.77,1.23,2015-09-22,2015.0
Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,EA DICE,7.1,8.03,3.31,3.19,1.3,2015-11-17,2015.0
The Sims 3,PC,Simulation,Electronic Arts,EA Redwood Shores,8.5,7.96,1.01,6.46,0.5,2009-06-02,2009.0
Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,8.8,7.72,2.9,2.83,1.74,2005-10-25,2005.0
Call of Duty: Advanced Warfare,PS4,Shooter,Activision,Sledgehammer Games,8.5,7.53,2.84,3.34,1.22,2014-11-04,2014.0
Call of Duty: World at War,X360,Shooter,Activision,Treyarch,8.5,7.5,4.88,1.91,0.71,2008-11-10,2008.0
Battlefield 3,X360,Shooter,Electronic Arts,Dice,8.5,7.35,4.47,2.12,0.69,2011-10-25,2011.0
Battlefield 1,PS4,Shooter,Electronic Arts,EA DICE,9.1,7.26,2.2,3.65,1.12,2016-10-21,2016.0
Battlefield 3,PS3,Shooter,Electronic Arts,Dice,8.5,7.21,2.86,2.94,1.07,2011-10-25,2011.0
Need for Speed Underground,PS2,Racing,Electronic Arts,EA Black Box,8.6,7.2,3.27,2.83,1.02,2003-11-17,2003.0
Need for Speed Underground 2,PS2,Racing,Electronic Arts,EA Black Box,8.3,6.9,2.71,3.02,1.09,2004-11-15,2004.0
Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,EA Los Angeles,9.0,6.83,2.93,2.75,0.99,2002-05-28,2002.0
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,9.5,6.74,3.28,2.22,1.02,2009-10-13,2009.0
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,Infinity Ward,9.5,6.72,3.13,2.27,1.04,2007-11-05,2007.0
FIFA Soccer 12,PS3,Sports,EA Sports,EA Canada,9.2,6.65,0.84,4.33,1.37,2011-09-27,2011.0
Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego,9.5,6.57,2.82,2.58,1.0,2011-10-11,2011.0
Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,2.03,0.6,2010-05-18,2010.0
Assassin's Creed III,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.8,6.5,2.65,2.61,1.08,2012-10-30,2012.0
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,6.49,2.57,2.68,0.99,2011-11-11,2011.0
Minecraft,PS4,Misc,Sony Computer Entertainment,Mojang,9.4,6.33,1.89,3.13,0.96,2014-10-07,2014.0
FIFA 15,PS4,Sports,EA Sports,EA Canada,8.1,6.32,0.83,4.49,0.94,2014-09-23,2014.0
Driver,PS,Action,GT Interactive,Reflections Interactive,8.5,6.27,3.11,2.8,0.33,1999-06-30,1999.0
Tekken 2,PS,Fighting,Namco,Namco,9.1,5.74,2.26,1.89,0.23,1996-08-25,1996.0
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,Traveller's Tales,8.0,5.66,3.57,1.57,0.52,2007-11-06,2007.0
Cooking Mama,DS,Simulation,Majesco,Office Create,6.6,5.66,3.09,1.92,0.58,2006-09-12,2006.0
Assassin's Creed II,PS3,Action,Ubisoft,Ubisoft Montreal,9.0,5.57,2.54,1.95,0.86,2009-11-17,2009.0
Assassin's Creed,X360,Action,Ubisoft,Ubisoft Montreal,8.2,5.55,3.28,1.64,0.56,2007-11-13,2007.0
Batman: Arkham City,PS3,Action,Warner Bros. Interactive,Rocksteady Studios,9.6,5.54,2.72,1.89,0.82,2011-10-18,2011.0
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.2,5.5,2.99,1.9,0.51,2009-10-27,2009.0
Call of Duty: World at War,PS3,Shooter,Activision,Treyarch,8.4,5.43,2.75,1.84,0.84,2008-11-10,2008.0
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,Traveller's Tales,6.9,5.42,2.07,2.29,0.82,2001-10-29,2001.0
Final Fantasy XIII,PS3,Role-Playing,Square Enix,Square Enix,8.0,5.35,1.75,1.23,0.51,2010-03-09,2010.0
Assassin's Creed II,X360,Action,Ubisoft,Ubisoft Montreal,9.1,5.3,3.14,1.55,0.52,2009-11-17,2009.0
Tomb Raider II,PS,Adventure,Eidos Interactive,Core Design Ltd.,7.6,5.24,2.3,2.46,0.28,1997-10-31,1997.0
Madden NFL 2004,PS2,Sports,EA Sports,EA Tiburon,9.5,5.23,4.26,0.26,0.71,2003-08-12,2003.0
Call of Duty: Advanced Warfare,XOne,Shooter,Activision,Sledgehammer Games,8.3,5.22,3.25,1.49,0.48,2014-11-04,2014.0
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,EA Los Angeles,5.9,5.13,1.98,2.23,0.8,2003-11-11,2003.0
Battlefield 1,XOne,Shooter,Electronic Arts,EA DICE,9.3,5.13,3.37,1.26,0.48,2016-10-21,2016.0
Microsoft Flight Simulator,PC,Simulation,Microsoft,Microsoft,7.0,5.12,3.22,1.69,0.2,1996-10-31,1996.0
Guitar Hero II,PS2,Misc,RedOctane,Harmonix Music Systems,9.2,5.12,3.81,0.63,0.68,2006-11-07,2006.0
Mario & Sonic at the Olympic Games,DS,Sports,Sega,Sega,7.0,5.1,1.63,2.46,0.57,2008-01-22,2008.0
Fable III,X360,Role-Playing,Microsoft Game Studios,Lionhead Studios,7.8,5.1,3.59,1.09,0.37,2010-10-26,2010.0
Resident Evil 5,PS3,Action,Capcom,Capcom,8.6,5.1,1.96,1.42,0.64,2009-03-13,2009.0
FIFA Soccer 11,PS3,Sports,EA Sports,EA Canada,8.7,5.08,0.61,3.28,1.12,2010-09-28,2010.0
Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,8.4,5.08,1.7,2.03,1.19,2006-10-31,2006.0
Final Fantasy XV,PS4,Role-Playing,Square Enix,Square Enix,8.1,5.07,1.81,1.53,0.68,2016-11-29,2016.0
Fallout 4,XOne,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.4,5.03,2.94,1.62,0.45,2015-11-10,2015.0
Tony Hawk's Pro Skater,PS,Sports,Activision,Neversoft Entertainment,9.6,5.02,3.42,1.38,0.2,1999-08-31,1999.0
Guitar Hero III: Legends of Rock,PS2,Misc,RedOctane,BudCat Creations,8.2,4.98,3.49,0.01,1.48,2007-10-28,2007.0
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,Naughty Dog,8.7,4.97,2.32,1.73,0.8,2007-11-16,2007.0
Fallout 3,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,4.96,3.41,0.99,0.46,2008-10-28,2008.0
Madden NFL 06,PS2,Sports,EA Sports,EA Tiburon,9.1,4.91,3.98,0.26,0.66,2005-08-08,2005.0
Assassin's Creed,PS3,Action,Ubisoft,Ubisoft Montreal,8.2,4.83,1.91,2.01,0.82,2007-11-13,2007.0
Crash Team Racing,PS,Racing,Sony Computer Entertainment,Naughty Dog,9.2,4.79,2.57,1.57,0.21,1999-09-30,1999.0
LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,Traveller's Tales,7.8,4.77,2.83,1.49,0.45,2007-11-06,2007.0
Batman: Arkham City,X360,Action,Warner Bros. Interactive,Rocksteady Studios,9.5,4.75,2.99,1.28,0.44,2011-10-18,2011.0
Driver 2,PS,Action,Atari,Reflections Interactive,7.0,4.73,2.36,2.1,0.25,2000-11-13,2000.0
The Simpsons: Hit & Run,PS2,Racing,VU Games,Radical Entertainment,7.7,4.7,1.73,2.19,0.79,2003-09-16,2003.0
Tony Hawk's Pro Skater 2,PS,Sports,Activision,Neversoft Entertainment,9.3,4.68,3.05,1.41,0.2,2000-09-20,2000.0
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,Stormfront Studios,8.3,4.67,1.94,1.95,0.7,2002-10-21,2002.0
Tomb Raider,PS,Action,Eidos Interactive,Core Design Ltd.,8.9,4.63,2.29,1.97,0.24,1996-11-14,1996.0
Forza Motorsport 4,X360,Racing,Microsoft Studios,Turn 10 Studio,9.1,4.6,2.08,1.98,0.49,2011-10-11,2011.0
Guitar Hero III: Legends of Rock,Wii,Misc,RedOctane,Vicarious Visions,8.6,4.6,3.04,1.12,0.44,2007-10-28,2007.0
FIFA 15,PS3,Sports,EA Sports,EA Canada,6.9,4.56,0.59,3.25,0.68,2014-09-23,2014.0
Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,Sega,6.8,4.54,1.87,1.97,0.48,2009-10-13,2009.0
Overwatch,PS4,Shooter,Blizzard Entertainment,Blizzard Entertainment,8.8,4.54,1.84,1.8,0.73,2016-05-24,2016.0
Guitar Hero III: Legends of Rock,X360,Misc,RedOctane,Neversoft,8.7,4.53,3.19,0.91,0.42,2007-10-28,2007.0
Madden NFL 2005,PS2,Sports,EA Sports,EA Tiburon,9.5,4.53,4.18,0.26,0.08,2004-08-09,2004.0
Spider-Man: The Movie,PS2,Action,Activision,Treyarch,8.2,4.48,2.71,1.51,0.23,2002-04-15,2002.0
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,Bethesda Softworks,9.2,4.47,2.89,1.03,0.41,2009-07-07,2009.0
Tony Hawk's Pro Skater 3,PS2,Sports,Activision,Neversoft Entertainment,9.1,4.41,2.66,1.29,0.46,2001-10-28,2001.0
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,8.8,4.39,0.1,2.39,0.86,2007-02-06,2007.0
Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,EA Canada,8.6,4.37,2.03,1.79,0.47,2005-11-15,2005.0
Michael Jackson: The Experience,Wii,Misc,Ubisoft,Ubisoft Montpellier,5.6,4.37,2.64,1.33,0.39,2010-11-23,2010.0
Call of Duty: Advanced Warfare,X360,Shooter,Activision,High Moon Studios,9.1,4.34,2.81,1.13,0.41,2014-11-04,2014.0
Batman: Arkham Asylum,PS3,Action,Eidos Interactive,Rocksteady Studios,9.0,4.28,2.26,1.33,0.63,2009-08-25,2009.0
Call of Duty: Advanced Warfare,PS3,Shooter,Activision,High Moon Studios,9.1,4.27,1.59,1.81,0.67,2014-11-04,2014.0
Assassin's Creed: Revelations,PS3,Action,Ubisoft,Ubisoft Montreal,8.8,4.23,1.41,2.03,0.69,2011-11-15,2011.0
Assassin's Creed: Revelations,X360,Action,Ubisoft,Ubisoft Montreal,7.9,4.22,2.28,1.47,0.44,2011-11-15,2011.0
FIFA Soccer 06,PS2,Sports,EA Sports,EA Canada,8.4,4.21,0.78,2.55,0.84,2005-10-04,2005.0
Street Fighter IV,PS3,Fighting,Capcom,Capcom / Dimps Corporation,9.3,4.19,2.04,1.05,0.52,2009-02-17,2009.0
FIFA Soccer 12,X360,Sports,EA Sports,EA Canada,9.2,4.18,0.85,2.79,0.52,2011-09-27,2011.0
Call of Duty: Ghosts,PS4,Shooter,Activision,Infinity Ward,7.5,4.17,1.79,1.64,0.69,2013-11-15,2013.0
Teenage Mutant Ninja Turtles,NES,Platform,Ultra Games,Konami,5.9,4.17,3.38,0.44,0.04,1989-06-01,1989.0
Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts,EA DICE,6.9,4.15,2.49,1.26,0.38,2015-11-17,2015.0
Madden NFL 2003,PS2,Sports,EA Sports,EA Tiburon,9.4,4.14,3.36,0.21,0.56,2002-08-12,2002.0
FIFA 07 Soccer,PS2,Sports,EA Sports,Team Fusion,8.4,4.11,0.71,2.48,0.89,2006-10-03,2006.0
Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,Rocksteady Studios,8.1,4.11,1.65,1.68,0.66,2015-06-23,2015.0
The Sims 4,PC,Simulation,Electronic Arts,Maxis,7.0,4.1,1.2,2.6,0.3,2014-09-02,2014.0
Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,Obsidian Entertainment,8.2,4.08,2.67,1.03,0.34,2010-10-19,2010.0
Carnival Games,Wii,Misc,Global Star Software,Cat Daddy Games,4.2,4.06,2.12,1.47,0.42,2007-08-28,2007.0
Far Cry 4,PS4,Shooter,Ubisoft,Ubisoft Montreal,8.4,4.06,1.18,2.14,0.63,2014-11-18,2014.0
World Soccer Winning Eleven 9,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,8.9,4.06,0.12,2.26,0.77,2006-02-07,2006.0
Forza Motorsport 2,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.1,4.05,2.35,1.27,0.41,2007-05-29,2007.0
Tekken Tag Tournament,PS2,Fighting,Namco,Namco,8.7,4.05,1.68,1.51,0.35,2000-10-25,2000.0
Fallout 3,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.8,4.0,2.18,1.15,0.61,2008-10-28,2008.0
The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.2,3.99,1.18,2.25,0.56,2011-11-11,2011.0
NBA 2K16,PS4,Sports,2K Sports,Visual Concepts,8.7,3.98,2.56,0.66,0.71,2015-09-29,2015.0
Far Cry 5,PS4,Action,Ubisoft,Ubisoft,7.9,3.95,1.44,1.73,0.62,2018-03-27,2018.0
Battlefield 4,PS4,Shooter,Electronic Arts,EA DICE,8.3,3.94,1.4,1.74,0.62,2013-11-15,2013.0
Assassin's Creed IV: Black Flag,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.7,3.94,1.34,1.86,0.62,2013-10-29,2013.0
Tony Hawk's Underground,PS2,Sports,Activision,Neversoft Entertainment,8.7,3.9,2.29,1.17,0.42,2003-10-27,2003.0
Just Dance 2014,Wii,Music,Ubisoft,Ubisoft Paris,7.4,3.89,1.91,1.66,0.33,2013-10-08,2013.0
Sports Champions,PS3,Sports,Sony Computer Entertainment,SCE San Diego Studio,7.6,3.88,2.15,1.13,0.5,2010-09-17,2010.0
World Soccer Winning Eleven 8 International,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,9.3,3.85,0.16,1.89,0.68,2005-02-01,2005.0
LEGO Indiana Jones: The Original Adventures,X360,Adventure,LucasArts,Traveller's Tales,7.5,3.76,2.4,1.01,0.36,2008-06-03,2008.0
The Sims: Unleashed,PC,Simulation,Electronic Arts,Maxis,7.3,3.76,2.03,1.56,0.17,2002-09-23,2002.0
Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment,High Impact Games,8.5,3.75,1.4,1.4,0.86,2007-02-13,2007.0
FIFA 17,XOne,Sports,Electronic Arts,EA Canada,8.8,3.71,1.04,2.4,0.27,2016-09-27,2016.0
FIFA Soccer 2005,PS2,Sports,EA Sports,EA Canada,8.4,3.7,0.58,2.48,0.59,2004-10-12,2004.0
Tony Hawk's Pro Skater 4,PS2,Sports,Activision,Neversoft Entertainment,9.6,3.67,2.13,1.18,0.35,2002-10-23,2002.0
MySims,DS,Simulation,Electronic Arts,EA Redwood Shores,6.7,3.66,1.58,1.6,0.4,2007-09-18,2007.0
Midnight Club 3: DUB Edition,PSP,Racing,Rockstar Games,Rockstar Leeds,7.2,3.66,1.65,1.22,0.79,2005-06-27,2005.0
SOCOM: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,Zipper Interactive,8.0,3.65,2.53,0.81,0.24,2002-08-27,2002.0
Battlefield 4,PS3,Shooter,Electronic Arts,EA DICE,8.7,3.64,1.31,1.5,0.55,2013-10-29,2013.0
Jak and Daxter: The Precursor Legacy,PS2,Platform,Sony Computer Entertainment,Naughty Dog,9.0,3.64,2.08,1.09,0.33,2001-12-04,2001.0
Pro Evolution Soccer 2008,PS2,Sports,Konami,Konami,8.2,3.63,0.05,0.0,2.93,2008-03-11,2008.0
FIFA Soccer 10,PS3,Sports,EA Sports,EA Canada,9.0,3.63,0.6,2.46,0.52,2009-10-20,2009.0
Guitar Hero: World Tour,Wii,Misc,Activision,Vicarious Visions,8.4,3.62,2.32,0.96,0.34,2008-10-26,2008.0
The Simpsons: Road Rage,PS2,Racing,Electronic Arts,Radical Entertainment,6.1,3.61,2.02,1.17,0.42,2001-11-24,2001.0
Star Wars Battlefront,PS2,Shooter,LucasArts,Pandemic Studios,8.1,3.61,1.93,1.22,0.44,2004-09-20,2004.0
Doom II,PC,Shooter,GT Interactive,id Software,9.3,3.61,2.05,1.4,0.16,1994-09-30,1994.0
Assassin's Creed Syndicate,PS4,Action,Ubisoft,Ubisoft Quebec,8.6,3.6,0.9,2.06,0.55,2015-10-23,2015.0
Star Wars Battlefront II,PS2,Shooter,LucasArts,Pandemic Studios,8.5,3.59,2.18,1.02,0.37,2005-11-01,2005.0
Cooking Mama 2: Dinner With Friends,DS,Simulation,Majesco,Office Create,6.9,3.58,1.6,1.49,0.39,2007-11-13,2007.0
The Getaway,PS2,Action,Sony Computer Entertainment,Team Soho,7.7,3.54,1.23,1.77,0.49,2003-01-19,2003.0
Tomb Raider III: Adventures of Lara Croft,PS,Adventure,Eidos Interactive,Core Design Ltd.,8.2,3.54,1.66,1.58,0.18,1998-11-21,1998.0
Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,Rockstar Leeds,8.3,3.54,1.56,1.4,0.5,2006-06-06,2006.0
Battlefield 4,X360,Shooter,Electronic Arts,EA DICE,8.7,3.54,2.16,1.05,0.32,2013-10-29,2013.0
Batman: Arkham Asylum,X360,Action,Eidos Interactive,Rocksteady Studios,9.1,3.54,2.24,0.95,0.33,2009-08-25,2009.0
Resident Evil 5,X360,Action,Capcom,Capcom,8.6,3.53,2.13,0.93,0.34,2009-03-13,2009.0
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,Ubisoft Montreal,9.1,3.53,2.87,0.39,0.25,2010-11-16,2010.0
LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive,Traveller's Tales,7.9,3.53,1.98,1.14,0.41,2005-04-02,2005.0
FIFA Soccer 11,X360,Sports,EA Sports,EA Canada,8.7,3.52,0.71,2.39,0.4,2010-09-28,2010.0
NBA 2K17,PS4,Sports,2K Sports,Visual Concepts,9.0,3.52,2.28,0.59,0.63,2016-09-16,2016.0
FIFA Soccer 2004,PS2,Sports,EA Sports,EA Canada,8.0,3.49,0.59,2.36,0.51,2003-11-04,2003.0
Borderlands,X360,Shooter,2K Games,Gearbox Software,8.3,3.48,2.43,0.72,0.3,2009-10-20,2009.0
Battlefield: Bad Company 2,X360,Shooter,Electronic Arts,EA Digital Illusions CE,9.0,3.48,2.11,1.01,0.33,2010-03-02,2010.0
Mario & Sonic at the Olympic Winter Games,DS,Sports,Sega,Sega,7.6,3.47,1.21,1.63,0.37,2009-10-13,2009.0
Guitar Hero: On Tour,DS,Misc,Activision,Vicarious Visions,7.1,3.46,2.1,1.01,0.35,2008-06-22,2008.0
Tekken 4,PS2,Fighting,Namco,Namco,7.9,3.44,1.55,1.27,0.29,2002-09-23,2002.0
LEGO Batman: The Videogame,X360,Adventure,Warner Bros. Interactive,Traveller's Tales,7.5,3.44,2.07,1.04,0.34,2008-09-23,2008.0
Halo: The Master Chief Collection,XOne,Shooter,Microsoft Studios,343 Industries,8.8,3.44,2.06,1.04,0.31,2014-11-11,2014.0
LittleBigPlanet 2,PS3,Platform,Sony Computer Entertainment,Media Molecule,9.1,3.43,1.83,1.07,0.47,2011-01-18,2011.0
Grand Theft Auto 2,PS,Action,Rockstar Games,DMA Design,6.9,3.42,1.13,2.07,0.22,1999-10-25,1999.0
Destiny,XOne,Shooter,Activision,Bungie,8.3,3.41,2.17,0.92,0.32,2014-09-09,2014.0
Spider-Man 2,PS2,Action,Activision,Treyarch,7.9,3.41,1.75,1.2,0.43,2004-06-28,2004.0
Crash Bash,PS,Misc,Sony Computer Entertainment,Eurocom Entertainment Software,6.8,3.39,1.56,1.47,0.17,2000-11-06,2000.0
The Elder Scrolls V: Skyrim Special Edition,PS4,Role-Playing,Bethesda Softworks,Bethesda Softworks,8.3,3.36,1.24,1.5,0.54,2016-10-28,2016.0
Assassin's Creed IV: Black Flag,X360,Action-Adventure,Ubisoft,Ubisoft Montreal,8.5,3.34,1.9,1.14,0.3,2013-10-29,2013.0
NBA 2K18,PS4,Sports,2K Sports,Visual Concepts,8.1,3.34,2.13,0.57,0.59,2017-09-19,2017.0
Max Payne,PS2,Shooter,Rockstar Games,Remedy Entertainment,8.1,3.31,1.99,1.05,0.22,2001-12-06,2001.0
Madden NFL 16,PS4,Sports,EA Sports,EA Tiburon,8.2,3.3,2.39,0.31,0.61,2015-08-25,2015.0
The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts,"Hypnos Entertainment, Inc.",8.4,3.28,1.5,1.28,0.46,2003-11-05,2003.0
Madden NFL 17,PS4,Sports,EA Sports,EA Tiburon,8.5,3.28,2.3,0.37,0.6,2016-08-23,2016.0
FIFA 16,XOne,Sports,EA Sports,EA Canada,8.5,3.25,0.92,2.1,0.24,2015-09-22,2015.0
L.A. Noire,PS3,Adventure,Rockstar Games,Team Bondi,9.1,3.21,1.29,1.31,0.49,2011-11-15,2011.0
007: Tomorrow Never Dies,PS,Shooter,Electronic Arts,Black Ops Entertainment,6.2,3.21,1.72,1.33,0.16,1999-11-16,1999.0
WWF SmackDown! 2: Know Your Role,PS,Fighting,THQ,Yuke's,8.7,3.2,1.76,1.21,0.16,2000-11-21,2000.0
Assassin's Creed IV: Black Flag,PS4,Action-Adventure,Ubisoft,Ubisoft Montreal,8.3,3.19,1.07,1.55,0.51,2013-11-15,2013.0
Assassin's Creed Odyssey,PS4,Action-Adventure,Ubisoft,Ubisoft Quebec,9.5,3.18,1.18,1.4,0.51,2018-10-05,2018.0
Fallout: New Vegas,PS3,Role-Playing,Bethesda Softworks,Obsidian Entertainment,8.2,3.17,1.54,1.04,0.49,2010-10-19,2010.0
Club Penguin: Elite Penguin Force,DS,Adventure,Disney Interactive Studios,1st Playable Productions,7.0,3.14,1.87,0.97,0.3,2008-11-25,2008.0
FIFA 18,XOne,Sports,EA Sports,EA Vancouver,8.0,3.14,0.98,1.92,0.23,2017-09-29,2017.0
The Elder Scrolls IV: Oblivion,PS3,Role-Playing,Bethesda Softworks,4J Studios,9.3,3.12,1.69,0.86,0.44,2007-03-20,2007.0
Tom Clancy's Ghost Recon Wildlands,PS4,Shooter,Ubisoft,Ubisoft Paris,7.0,3.12,1.07,1.35,0.47,2017-03-07,2017.0
NBA 2K13,X360,Sports,2K Sports,Visual Concepts,8.6,3.11,2.62,0.21,0.28,2012-10-02,2012.0
Mass Effect 2,X360,Role-Playing,Electronic Arts,BioWare Edmonton,9.5,3.1,1.99,0.81,0.27,2010-01-26,2010.0
LEGO Batman: The Videogame,Wii,Adventure,Warner Bros. Interactive,Traveller's Tales,7.3,3.08,1.8,0.98,0.29,2008-09-23,2008.0
Saints Row 2,X360,Action,THQ,Volition Inc.,7.9,3.07,1.98,0.79,0.28,2008-10-14,2008.0
Call of Duty: Ghosts,XOne,Shooter,Activision,Infinity Ward,7.5,3.07,1.92,0.86,0.28,2013-11-22,2013.0
LEGO Batman: The Videogame,DS,Adventure,Warner Bros. Interactive,Traveller's Tales,7.8,3.06,1.75,1.02,0.29,2008-09-23,2008.0
Kung Fu Panda,X360,Platform,Activision,Luxoflux,7.5,3.05,1.91,0.84,0.29,2008-06-03,2008.0
Mass Effect 3,X360,Role-Playing,Electronic Arts,BioWare,9.5,3.04,1.94,0.84,0.24,2012-03-06,2012.0
Rayman,PS,Platform,Ubisoft,Ubisoft Montpellier,7.0,3.03,1.54,1.33,0.16,1995-09-01,1995.0
Tom Clancy's Splinter Cell,XB,Action,Ubisoft,Ubisoft,9.3,3.02,1.85,1.04,0.13,2002-11-17,2002.0
WWE SmackDown! vs. Raw 2006,PS2,Fighting,THQ,Yuke's,8.4,3.0,1.57,1.02,0.41,2005-11-15,2005.0
Battlefield: Bad Company 2,PS3,Shooter,Electronic Arts,EA Digital Illusions CE,8.9,2.96,1.33,1.11,0.44,2010-03-02,2010.0
Street Fighter IV,X360,Fighting,Capcom,Capcom / Dimps Corporation,9.3,2.95,1.83,0.7,0.26,2009-02-17,2009.0
