title,console,genre,publisher,developer,critic_score,total_sales,na_sales,pal_sales,other_sales,release_date,year
Sacred 2: Fallen Angel,X360,Role-Playing,CDV Software Entertainment,Ascaron Entertainment,7.0,0.54,0.29,0.16,0.05,2009-05-11,2009.0
Dragon Ball: Fusions,3DS,Role-Playing,Namco Bandai Games,Ganbarion,6.3,0.54,0.17,0.09,0.03,2016-11-22,2016.0
Mario Tennis Ultra Smash,WiiU,Sports,Nintendo,Camelot Software Planning,6.1,0.54,0.16,0.2,0.03,2015-11-20,2015.0
Tiger Woods PGA Tour 11,Wii,Sports,EA Sports,EA Tiburon,8.3,0.54,0.23,0.26,0.05,2010-06-08,2010.0
NBA Live 10,PS3,Sports,EA Sports,EA Canada,7.9,0.54,0.46,0.03,0.05,2009-10-06,2009.0
Gauntlet Legends,N64,Action,Midway Games,Atari Games,6.0,0.54,0.43,0.1,0.01,1999-08-31,1999.0
Assassin's Creed II,PC,Action,Ubisoft,Ubisoft Montreal,8.5,0.54,0.01,0.45,0.07,2010-03-09,2010.0
Hotel Dusk: Room 215,DS,Adventure,Nintendo,Cing,8.0,0.54,0.26,0.04,0.03,2007-01-22,2007.0
Bulletstorm,PS3,Shooter,Electronic Arts,People Can Fly,8.4,0.54,0.24,0.2,0.09,2011-02-22,2011.0
Manhunt 2,Wii,Action,Rockstar Games,Rockstar Toronto,5.8,0.54,0.25,0.23,0.06,2007-10-29,2007.0
Dynasty Warriors: Gundam 3,PS3,Action,Tecmo Koei,Omega Force,6.5,0.54,0.11,0.05,0.02,2011-06-28,2011.0
Enslaved: Odyssey to the West,X360,Action,Namco Bandai,Ninja Theory,8.0,0.54,0.3,0.19,0.05,2010-10-05,2010.0
ModNation Racers,PSP,Racing,Sony Computer Entertainment,SCE San Diego Studio,7.7,0.54,0.11,0.27,0.14,2010-05-25,2010.0
NBA Street Vol. 2,GC,Sports,EA Sports BIG,EA Canada,8.8,0.54,0.41,0.11,0.01,2003-04-28,2003.0
SSX Tricky,GC,Sports,EA Sports BIG,EA Canada,8.4,0.54,0.42,0.11,0.01,2001-12-02,2001.0
FIFA 07 Soccer,XB,Sports,EA Sports,EA Canada,8.1,0.54,0.16,0.35,0.04,2006-10-03,2006.0
Over the Hedge,PS2,Platform,Activision,Edge of Reality,6.5,0.54,0.45,0.02,0.07,2006-05-09,2006.0
The SpongeBob SquarePants Movie,XB,Platform,THQ,Heavy Iron Studios,6.8,0.54,0.4,0.12,0.02,2004-10-27,2004.0
